NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,MASS,MSTAR,I
,mjupiter,au,day,,deg,jd,m/s,,,,,mjupiter,msun,deg
Kepler-938 b,,0.267315,52.6298417,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0166923,0.92,
Kepler-275 b,,0.0926511,10.300682,,90,2454975.73999,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0178911,,
TRAPPIST-1 d,,0.0222009,4.049959,0,90,2457670.14227,,Delrez 2018,http://adsabs.harvard.edu/abs/2018MNRAS.475.3577D,Gillon 2017,http://adsabs.harvard.edu/abs/2017Natur.542..456G,0.0009344,0.089,89.89
HD 238914 b,,5.70035,4100,0.56,318,2460540,,Adamow 2018,http://adsabs.harvard.edu/abs/2018A%26A...613A..47A,Adamow 2018,http://adsabs.harvard.edu/abs/2018A%26A...613A..47A,,1.47,
HD 13908 b,0.865,0.153755,19.382,0.046,185,2455750.93,55.3,Moutou 2013,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M,Moutou 2013,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M,0.865,1.29,
HD 50499 b,1.74473,3.87172,2457.8717,0.253675,258.799,2451220.052,23.0219,Vogt 2005,http://adsabs.harvard.edu/abs/2005ApJ...632..638V,Vogt 2005,http://adsabs.harvard.edu/abs/2005ApJ...632..638V,1.74473,1.28,
CoRoT-14 b,7.56823,0.0269122,1.51214,0,90,2454787.6694,1230,Tingley 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A..97T,Tingley 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A..97T,7.69464,1.13,79.6
Kepler-1542 e,,0.0568105,5.10115756,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.00111394,0.94,
Kepler-820 b,,0.532115,127.8338098,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.124338,1.23,
Kepler-521 b,,0.170471,22.20813214,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0302544,1.34,
Kepler-1136 b,,0.0311079,2.36172433,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0121546,0.72,
Kepler-176 d,,0.170666,25.751974,,90,2454969.44951,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.019783,,
Kepler-319 d,,0.196363,31.781925,,90,2454967.86667,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0173806,,
Kepler-832 b,,0.0705758,7.1396941,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.015288,0.92,
Kepler-80 d,,0.0413591,3.072186,,90,2454967.02149,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0128437,,
Kepler-155 b,,0.0641261,5.931194,,90,2455007.79655,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0155228,,
Kepler-342 d,,0.226833,39.459357,,90,2454969.46152,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0195472,,
Kepler-1015 b,,0.141962,16.00494214,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0385876,1.49,
CoRoT-4 b,0.717419,0.0903166,9.20205,0,90,2454141.36416,63,Moutou 2008,http://adsabs.harvard.edu/abs/2008A%26A...488L..47M,Moutou 2008 ; Aigrain 2008,http://adsabs.harvard.edu/abs/2008A%26A...488L..47M ; http://adsabs.harvard.edu/abs/2008A%26A...488L..43A,0.717419,1.16,90
Kepler-610 c,,0.575052,151.86392,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0325593,1.1,
HAT-P-19 b,0.292129,0.0466409,4.008778,0.067,256,2454798.988,42,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...52H,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...52H,0.292273,0.842,88.2
tau Gem b,20.3246,1.17509,305.5,0.031,137.4,2453270.7,350.2,Mitchell 2013,http://adsabs.harvard.edu/abs/2013A%26A...555A..87M,Mitchell 2013,http://adsabs.harvard.edu/abs/2013A%26A...555A..87M,20.3246,2.3,
Kepler-396 b,,0.227505,42.99,,,,,Xie 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...25X,Xie 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...25X,,0.85,
Kepler-736 b,,0.043728,3.60147201,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0256089,0.86,
Kepler-784 b,,0.195581,31.5922646,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0117956,1,
Kepler-825 c,,0.0802514,8.1818246,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0135358,1.03,
HD 154857 c,2.57917,5.35635,3452,0.06,352,2455219,24.2,Wittenmyer 2014,http://adsabs.harvard.edu/abs/2014arXiv1401.5525W,O'Toole 2007,http://adsabs.harvard.edu/abs/2007ApJ...660.1636O,2.57917,1.718,
Kepler-1037 b,,0.0190889,1.06378867,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.00688654,0.82,
K2-31 b,1.75232,0.0221125,1.25785,0,90,2457191.70889,350.9,Grziwa 2016,http://adsabs.harvard.edu/abs/2016AJ....152..132G,Dai 2016,http://adsabs.harvard.edu/abs/2016ApJ...823..115D,1.7799,0.91,79.9
Kepler-1425 b,,0.114954,14.4541302,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.00235177,0.97,
Kepler-24 c,,0.105496,12.3318,0,90,2454970.586,,Ford 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..113F,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.0236121,1.03,
Kepler-47 c,,0.895669,303.158,0,,,,Orosz 2012,http://adsabs.harvard.edu/abs/2012Sci...337.1511O,Orosz 2012,http://adsabs.harvard.edu/abs/2012Sci...337.1511O,0.0729242,1.043,89.826
GJ 163 b,0.033876,0.0606753,8.631,0.11,97,2455042.253,6.22,Bonfils 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.110B,Bonfils 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.110B,0.033876,0.4,
Kepler-133 c,,0.195273,31.517586,,90,2455018.15322,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0242535,,
Kepler-919 b,,0.101697,11.04603384,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0170154,1.15,
HIP 116454 b,0.0374396,0.0784741,9.1205,0.205,-59.1,,4.41,Vanderburg 2015,http://adsabs.harvard.edu/abs/2015ApJ...800...59V,Vanderburg 2015,http://adsabs.harvard.edu/abs/2015ApJ...800...59V,0.03719,0.775,88.43
Kepler-924 b,,0.316935,61.0370117,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0281267,1.14,
Kepler-988 b,,0.109153,17.76080053,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.015383,0.55,
Kepler-33 f,,0.253499,41.02902,0,90,2455005.5,,Lissauer 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..112L,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.0654095,1.291,89.17
Kepler-116 b,,0.0643964,5.968734,,90,2454970.15762,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0353405,,
Kepler-869 b,,0.228204,40.4287755,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0400412,0.97,
Kepler-848 b,,0.0712451,6.91134416,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0125983,1.01,
Kepler-107 c,,0.0564705,4.901425,,90,2454971.60742,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0133325,,
Kepler-84 e,,0.178021,27.434389,,90,2454978.1254,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0208911,,
Kepler-109 b,,0.0689299,6.48163,0,,,0.29,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,0.0182069,1.04,
Kepler-764 b,,0.071869,7.33683936,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0121546,0.92,
Kepler-734 b,,0.0619246,6.10485286,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0388741,0.85,
Kepler-315 b,,0.410606,96.101141,,90,2455020.73232,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0445124,,
Kepler-837 b,,0.120447,16.56059504,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0203354,0.85,
Kepler-639 b,,0.0962449,10.21420496,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0182743,1.14,
KIC 11442793 f,,0.519687,124.9144,,,,,Cabrera 2014,http://adsabs.harvard.edu/abs/2013arXiv1310.6248C,Cabrera 2013,http://adsabs.harvard.edu/abs/2013arXiv1310.6248C,0.0254263,1.2,89.77
Kepler-1208 b,,0.0903224,11.08507637,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0176872,0.8,
Kepler-1238 b,,0.0551406,4.14787559,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.014205,1.3,
Kepler-586 b,,0.0314856,2.10472218,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0235163,0.94,
Kepler-757 b,,0.0203817,1.02267882,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.00842926,1.08,
HD 2039 b,5.92499,2.19755,1120,0.715,344.1,2452041,153,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Tinney 2003,http://adsabs.harvard.edu/abs/2003ApJ...587..423T,5.92499,1.123,
K2-16 c,,0.122878,19.07863,,,,,Sinukoff 2016,http://adsabs.harvard.edu/abs/2016ApJ...827...78S,Montet 2015,http://adsabs.harvard.edu/abs/2015ApJ...809...25M,0.0208339,0.68,87.83
Kepler-128 c,,0.166306,22.804,,,,,Xie 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...25X,Xie 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...25X,,1.18,
Kepler-170 b,,0.0778294,7.930592,,90,2455002.51582,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0305853,,
HD 34445 d,0.0961265,0.481226,117.87,0.027,250,,3.81,Vogt 2017,http://adsabs.harvard.edu/abs/2017AJ....154..181V,Vogt 2017,http://adsabs.harvard.edu/abs/2017AJ....154..181V,0.0961265,1.07,
Kepler-36 c,,0.128401,16.23855,0,90,2454955.9132,,Carter 2012,http://adsabs.harvard.edu/abs/2012Sci...337..556C,Carter 2012,http://adsabs.harvard.edu/abs/2012Sci...337..556C,0.025489,1.071,89.76
Kepler-247 d,,0.146486,20.477912,,90,2455011.66798,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0497576,,
Kepler-136 b,,0.100165,11.5789,,90,2455008.58649,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0151834,,
XO-2 b,0.566437,0.0368369,2.615857,0,90,2454147.74902,85,Burke 2007,http://adsabs.harvard.edu/abs/2007ApJ...671.2115B,Burke 2007,http://adsabs.harvard.edu/abs/2007ApJ...671.2115B,0.566541,0.974,88.9
Kepler-859 b,,0.136122,20.38177573,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0285386,0.81,
HD 191806 b,8.57451,2.81079,1606.3,0.259,4,2455014,140.5,Diaz 2016,http://adsabs.harvard.edu/abs/2016A%26A...591A.146D,Diaz 2016,http://adsabs.harvard.edu/abs/2016A%26A...591A.146D,8.57451,1.14,
Kepler-305 d,,0.128062,16.738661,,90,2455192.41608,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0223552,,
Kepler-120 c,,0.107059,12.794585,,90,2454963.76464,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0125754,,
Kepler-393 b,,0.0858179,9.182417,,90,2454967.04813,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.00711292,,
Kepler-96 b,0.0261659,0.125499,16.23844,0,90,,2.1,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,0.0261659,1,
Kepler-11 d,0.0191935,0.154764,22.6845,0.0036055,146.31,2455597.533,1.426,Lissauer 2013,http://adsabs.harvard.edu/abs/2013ApJ...770..131L,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,0.0229683,0.961,89.67
Kepler-1497 b,,0.0819289,8.74199772,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0123008,0.96,
Kepler-1257 b,,0.0363506,2.66831376,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0124263,0.9,
GJ 1132 b,0.0052796,0.0153263,1.628931,0,90,2457184.55786,2.85,Bonfils 2018,http://adsabs.harvard.edu/abs/2018arXiv180603870B,Berta-Thompson 2015,https://ui.adsabs.harvard.edu/#abs/2015ESS.....310201B,0.0052796,0.181,
HD 187085 b,0.803694,2.02754,986,0.47,94,2450912,17,Jones 2006,http://adsabs.harvard.edu/abs/2006MNRAS.369..249J,Jones 2006,http://adsabs.harvard.edu/abs/2006MNRAS.369..249J,0.803694,1.143,
HD 118203 b,2.13623,0.0702997,6.1335,0.309,155.7,2453394.23,217,Da Silva 2006,http://adsabs.harvard.edu/abs/2006A%26A...446..717D,Da Silva 2006,http://adsabs.harvard.edu/abs/2006A%26A...446..717D,2.13623,1.23,
Kepler-833 b,,0.119053,18.7546998,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0149156,0.64,
Kepler-106 b,,0.0657994,6.16486,0,,,0.05,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,0.00144019,1,
HATS-17 b,1.34126,0.130891,16.254611,0.029,,,99.1,Brahm 2016,http://adsabs.harvard.edu/abs/2016AJ....151...89B,Brahm 2016,http://adsabs.harvard.edu/abs/2016AJ....151...89B,1.34144,1.131,89.08
Kepler-198 d,,0.0228923,1.31184443,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0124263,0.93,
Kepler-464 b,,0.0781697,7.25696522,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0325593,1.21,
WASP-63 b,0.377818,0.0574592,4.37808,0,90,2455921.6527,39,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,0.378096,1.32,87.8
HD 103720 b,0.62047,0.0498148,4.5557,0.086,262,2455387.46,89,Moutou 2015,http://adsabs.harvard.edu/abs/2015A%26A...576A..48M,Moutou 2015,http://adsabs.harvard.edu/abs/2015A%26A...576A..48M,0.62047,0.794,
HD 224538 b,6.02254,2.42516,1189.1,0.464,23,,107,Jenkins 2017,http://adsabs.harvard.edu/abs/2017MNRAS.466..443J,Jenkins 2017,http://adsabs.harvard.edu/abs/2017MNRAS.466..443J,6.02254,1.34,
Kepler-30 b,,0.185524,29.334,0.042,329,2455237.133,,Sanchis-Ojeda 2012,http://adsabs.harvard.edu/abs/2012Natur.487..449S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.035557,0.99,89.82
Kepler-836 b,,0.0998849,11.36112327,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0227057,1.03,
Kepler-214 c,,0.183794,28.7798,,90,2455026.30447,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0158724,,
Kepler-946 b,,0.0993188,11.79162572,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.014205,0.94,
HD 175167 b,7.77836,2.40085,1290,0.54,342,2453598,161,Arriagada 2010,http://adsabs.harvard.edu/abs/2010ApJ...711.1229A,Arriagada 2010,http://adsabs.harvard.edu/abs/2010ApJ...711.1229A,7.77836,1.102,
Kepler-273 b,,0.0401325,2.936532,,90,2454968.71482,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0117855,,
Kepler-461 b,,0.0797776,8.31378306,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0206139,0.98,
Kepler-1603 b,,0.036038,2.27163926,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.00709482,1.21,
Kepler-323 c,,0.0455761,3.553822,,90,2454967.64078,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0121124,,
Kepler-84 d,,0.0511438,4.224537,,90,2454968.43327,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.00893492,,
Kepler-267 c,,0.0707769,6.87745,,90,2454965.08303,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0158724,,
HAT-P-16 b,4.1951,0.0413275,2.77596,0.036,214,2455025.754,531.1,Buchhave 2010,http://adsabs.harvard.edu/abs/2010ApJ...720.1118B,Buchhave 2010,http://adsabs.harvard.edu/abs/2010ApJ...720.1118B,4.2025,1.218,86.6
TrES-4 b,0.913019,0.0509243,3.553945,0,90,2454230.9053,97.4,Mandushev 2007,http://adsabs.harvard.edu/abs/2007ApJ...667L.195M,Mandushev 2007,http://adsabs.harvard.edu/abs/2007ApJ...667L.195M,0.925,1.394,82.81
Kepler-231 c,,0.140675,19.271566,,90,2455019.76907,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0142208,,
NGC 4349 127 b,9.88561,1.68103,677.8,0.19,61,2454114,188,Lovis 2007,http://adsabs.harvard.edu/abs/2007A&A...472..657L,Lovis 2007,http://adsabs.harvard.edu/abs/2007A&A...472..657L,9.88561,1.37,
Kepler-184 b,,0.0949568,10.687576,,90,2455002.93154,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0181008,,
GJ 676 A b,4.43286,1.80757,1050.3,0.328,85.7,2455411.9,117.42,Forveille 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.141F,Forveille 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.141F,4.43286,0.71,
Kepler-60 b,,0.0750769,7.1316185,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B,0.0172607,1.11,
Kepler-1124 b,,0.0277394,2.85234897,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.00688654,0.35,
Kepler-1235 b,,0.0494161,4.16055856,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.00123338,0.93,
Kepler-151 b,,0.120241,15.228958,,90,2455009.55979,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0279223,,
HIP 109384 b,1.56499,1.13482,499.48,0.549,104.49,2456337.02,56.53,Hebrard 2016,http://adsabs.harvard.edu/abs/2016A%26A...588A.145H,Hebrard 2016,http://adsabs.harvard.edu/abs/2016A%26A...588A.145H,1.56499,0.78,
Kepler-242 c,,0.116354,14.496481,,90,2454976.41348,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0147725,,
Kepler-230 b,,0.199823,32.625555,,90,2455027.13742,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0596201,,
HD 47186 c,0.348285,2.38704,1353.6,0.249,26,2452010,6.65,Bouchy 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..527B,Bouchy 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..527B,0.348285,0.99,
Kepler-463 b,,0.0807229,8.98101683,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0277215,0.87,
Kepler-1553 b,,0.048585,4.24261881,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.00485109,0.85,
Kepler-1003 b,,0.0471986,3.55485691,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0131362,1.11,
Kepler-840 b,,0.0364828,2.49577962,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,1,1.04,
Kepler-351 c,,0.290701,57.24809,,90,2455017.69417,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0303861,,
Kepler-534 b,,0.126093,15.95994513,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0169068,1.05,
Kepler-350 b,,0.0979073,11.189562,,90,2454973.63108,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0136211,,
Kepler-382 b,,0.0592083,5.262155,,90,2454969.36774,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.00769114,,
Kepler-900 b,,0.0658684,6.9913086,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0154788,0.78,
GJ 9827 d,0.0163262,0.0561474,6.201467,,,,2.5,Rodriguez 2018,http://adsabs.harvard.edu/abs/2018AJ....155...72R,Niraula 2017,http://adsabs.harvard.edu/abs/2017AJ....154..266N,0.0163432,0.614,87.39
