NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,MASS,MSTAR,I
,mjupiter,au,day,,deg,jd,m/s,,,,,mjupiter,msun,deg
GJ 436 b,0.0725512,0.0287188,2.64385,0.16,351,2451551.716,18.34,Maness 2007,http://adsabs.harvard.edu/abs/2007PASP..119...90M,Butler 2004,http://adsabs.harvard.edu/abs/2004ApJ...617..580B,0.0726979,0.452,86.36
KELT-18 b,,0.0457595,2.8717518,0.058,106,2457542.62,,McLeod 2017,http://adsabs.harvard.edu/abs/2017AJ....153..263M,McLeod 2017,http://adsabs.harvard.edu/abs/2017AJ....153..263M,1,1.55,88.8
Kepler-1231 b,,0.0936589,10.41725184,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.00991268,1.01,
Kepler-142 c,,0.0553921,4.761702,,90,2455003.33543,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0245625,,
Kepler-401 d,,0,184.256405,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0172355,0,
Kepler-815 b,,0.0883216,8.57503552,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.055479,1.25,
Kepler-578 b,,0.0257374,1.6168837,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0147338,0.87,
Kepler-181 c,,0.0517683,4.302149,,90,2455006.43717,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.014692,,
XO-2S b,0.259,0.134393,18.157,0.18,331.9,2456413.11,20.64,Desidera 2014,http://adsabs.harvard.edu/abs/2014A%26A...567L...6D,Desidera 2014,http://adsabs.harvard.edu/abs/2014A%26A...567L...6D,0.259,0.982,
Kepler-364 b,,0.170638,25.745718,,90,2454968.95058,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.011604,,
Kepler-173 c,,0.0783205,8.005777,,90,2455003.5034,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0188614,,
Kepler-609 b,,0.070302,6.52121067,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0337813,1.09,
Kepler-1606 b,,0.638509,196.435224,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.015383,0.9,
Kepler-290 b,,0.11685,14.589347,,90,2454974.93413,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0169862,,
Kepler-926 b,,0.273799,52.0688601,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0175728,1.01,
Kepler-544 b,,0.158582,21.41616926,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0157709,1.16,
HATS-36 b,3.2196,0.0542977,4.1752387,0.105,,,356.9,Bayliss 2018,http://adsabs.harvard.edu/abs/2018AJ....155..119B,Bayliss 2018,http://adsabs.harvard.edu/abs/2018AJ....155..119B,3.22241,1.222,87.61
WASP-37 b,1.79324,0.0446312,3.577469,0,90,2455338.6188,250.7,Simpson 2011,http://adsabs.harvard.edu/abs/2011AJ....141....8S,Simpson 2011,http://adsabs.harvard.edu/abs/2011AJ....141....8S,1.79362,0.925,88.82
Kepler-223 c,,0.0899174,9.848183,,90,2454971.38748,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0147725,,
HD 6718 b,1.5591,3.55427,2496,0.1,286,2454357,24.1,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,1.5591,0.96,
Kepler-224 e,,0.137602,18.643577,,90,2454974.62463,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0145328,,
Kepler-322 c,,0.0520493,4.337234,,90,2454965.84959,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0123736,,
HD 33636 b,9.26951,3.26519,2127.7,0.4805,339.5,2451205.8,164.2,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Vogt 2002,http://adsabs.harvard.edu/abs/2002ApJ...568..352V,9.26951,1.017,
Kepler-477 b,,0.093078,11.11990653,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.015383,0.87,
Kepler-1327 b,,0.119224,14.88801098,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0132944,1.02,
V830 Tau b,0.569537,0.056677,4.927,,,2457360.523,68,Donati 2017,http://adsabs.harvard.edu/abs/2017MNRAS.465.3343D,Donati 2017,http://adsabs.harvard.edu/abs/2017MNRAS.465.3343D,0.695276,1,55
Kepler-163 c,,0.150603,21.347262,,90,2455004.7359,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0170837,,
Kepler-1128 b,,0.29908,61.6178167,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0412428,0.94,
HAT-P-40 b,0.619927,0.060845,4.457243,0,90,2455813.17584,58.1,Hartman 2012,http://adsabs.harvard.edu/abs/2012AJ....144..139H,Hartman 2012,http://adsabs.harvard.edu/abs/2012AJ....144..139H,0.6202,1.512,88.3
HD 240237 b,5.31949,1.91887,745.7,0.4,108.1,2454292,91.5,Gettel 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...28G,Gettel 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...28G,5.31949,1.69,
