JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458841.33492,17.320,0.337,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,3.811,Z,19.166,19.402,,V353 VUL,VVS,STD,,,,
2458845.33481,16.767,0.353,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,4.668,Z,19.446,19.723,,V353 VUL,VVS,STD,,,,
2458899.92775,16.665,0.468,,V,DDJ,,134,127,X25151GB,AAVSONET-BSM_HAMREN2,0,1.789,Z,-6.025,-6.758,,V0353 VUL,AAVSO,STD,,,,
2458899.93001,16.168,0.628,,R,DDJ,,134,127,X25149APY,AAVSONET-BSM_HAMREN,0,1.761,Z,-6.293,-7.228,,V0353 VUL,AAVSO,STD,,,,
2458906.73598,16.754,0.207,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.747,Z,19.313,19.507,,V353 VUL,VVS,STD,,,,
2458907.73617,16.309,0.334,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.712,Z,19.873,20.036,,V353 VUL,VVS,STD,,,,
2458911.72534,16.199,0.925,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.711,Z,21.178,21.455,,V353 VUL,VVS,STD,,,,
2458915.71486,17.112,0.824,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.705,Z,20.095,20.282,,V353 VUL,VVS,STD,,,,
2458916.71157,17.227,0.626,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.712,Z,19.311,19.527,,V353 VUL,VVS,STD,,,,
2458918.70969,<16.66,,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.671,Z,19.105,19.287,,V353 VUL,VVS,STD,,,,
2458919.70718,17.038,0.484,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.669,Z,18.924,19.275,,V353 VUL,VVS,STD,,,,
