JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458679.71535,15.403,0.139,,V,KNAA,,000-BMS-488,000-BMS-489,X23173ED,|VMAGINS=-5.742|VERR=0.035|CREFMAG=13.374|CREFERR=0.010|KREFMAG=13.655|KREFERR=0.023|VX=0.0000|CX=0.0000|KX=0.0000|TV_VR=-0.1620|TV_VRERR=0.0530|TAVER=2.49,1,1.328,Z,-8.171,-7.940,,V0353 VUL,AAVSO,STD,105,,,
2458679.71666,12.510,0.112,,R,KNAA,,000-BMS-488,000-BMS-489,X23173ED,|VMAGINS=-8.439|VERR=0.010|CREFMAG=12.951|CREFERR=0.139|KREFMAG=13.057|KREFERR=0.141|VX=0.0000|CX=0.0000|KX=0.0000|TR_VR=-0.2370|TR_VRERR=0.0420|TAVER=2.49,1,1.321,Z,-8.583,-8.490,,V0353 VUL,AAVSO,STD,105,,,
2458690.63091,15.829,0.051,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.35,Z,18.745,18.967,,V353 VUL,VVS,STD,,,,
2458692.69809,15.857,0.022,,V,DKS,,000-BMS-489,000-BMS-490,X23379EXQ,ERROR: V+C POISSON;,0,1.007,Z,13.655,14.261,,V0353 VUL,AAVSO,STD,,,,
2458692.70501,15.515,0.136,,V,KNAA,,000-BMS-488,000-BMS-489,X23173ED,|VMAGINS=-5.675|VERR=0.042|CREFMAG=13.374|CREFERR=0.010|KREFMAG=13.655|KREFERR=0.023|VX=0.0000|CX=0.0000|KX=0.0000|TV_VR=-0.1620|TV_VRERR=0.0530|TAVER=2.49,1,1.203,Z,-8.201,-7.977,,V0353 VUL,AAVSO,STD,105,,,
2458692.70881,12.718,0.108,,R,KNAA,,000-BMS-488,000-BMS-489,X23173ED,|VMAGINS=-8.289|VERR=0.009|CREFMAG=12.951|CREFERR=0.139|KREFMAG=13.057|KREFERR=0.141|VX=0.0000|CX=0.0000|KX=0.0000|TR_VR=-0.2370|TR_VRERR=0.0420|TAVER=2.49,1,1.187,Z,-8.619,-8.542,,V0353 VUL,AAVSO,STD,105,,,
2458697.62481,15.903,0.051,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.44,Z,18.675,18.896,,V353 VUL,VVS,STD,,,,
2458704.67972,15.758,0.139,,V,KNAA,,000-BMS-488,000-BMS-489,X23173ED,|VMAGINS=-5.357|VERR=0.045|CREFMAG=13.374|CREFERR=0.010|KREFMAG=13.655|KREFERR=0.023|VX=0.0000|CX=0.0000|KX=0.0000|TV_VR=-0.1620|TV_VRERR=0.0530|TAVER=2.49,1,1.173,Z,-8.132,-7.923,,V353 VUL,AAVSO,STD,9109,,,
2458704.68370,12.920,0.110,,R,KNAA,,000-BMS-488,000-BMS-489,X23173ED,|VMAGINS=-8.059|VERR=0.009|CREFMAG=12.951|CREFERR=0.139|KREFMAG=13.057|KREFERR=0.141|VX=0.0000|CX=0.0000|KX=0.0000|TR_VR=-0.2370|TR_VRERR=0.0420|TAVER=2.49,1,1.159,Z,-8.600,-8.491,,V353 VUL,AAVSO,STD,9109,,,
2458710.67822,15.918,0.153,,V,KNAA,,000-BMS-488,000-BMS-489,X23173ED,|VMAGINS=-5.199|VERR=0.067|CREFMAG=13.374|CREFERR=0.010|KREFMAG=13.655|KREFERR=0.023|VX=0.0000|CX=0.0000|KX=0.0000|TV_VR=-0.1620|TV_VRERR=0.0530|TAVER=2.49,1,1.125,Z,-8.151,-7.908,,V0353 VUL,AAVSO,STD,9109,,,
2458710.68221,12.976,0.116,,R,KNAA,,000-BMS-488,000-BMS-489,X23173ED,|VMAGINS=-7.963|VERR=0.014|CREFMAG=12.951|CREFERR=0.139|KREFMAG=13.057|KREFERR=0.141|VX=0.0000|CX=0.0000|KX=0.0000|TR_VR=-0.2370|TR_VRERR=0.0420|TAVER=2.49,1,1.113,Z,-8.585,-8.487,,V0353 VUL,AAVSO,STD,9109,,,
2458717.39751,16.311,0.082,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.05,Z,18.841,19.010,,V353 VUL,VVS,STD,,,,
2458735.58046,16.454,0.116,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,2.187,Z,19.123,19.360,,V353 VUL,VVS,STD,,,,
2458737.65995,16.754,0.075,,V,DKS,,000-BMS-489,000-BMS-490,X23379EXQ,ERROR: V+C POISSON;,0,1.110,Z,13.655,14.292,,V0353 VUL,AAVSO,STD,,,,
2458747.36134,16.630,0.103,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.041,Z,18.789,19.024,,V353 VUL,VVS,STD,,,,
2458748.68586,16.407,0.141,,V,KNAA,,000-BMS-488,000-BMS-489,X23173ED,|VMAGINS=-4.799|VERR=0.062|CREFMAG=13.374|CREFERR=0.010|KREFMAG=13.655|KREFERR=0.023|VX=0.0000|CX=0.0000|KX=0.0000|TV_VR=-0.1620|TV_VRERR=0.0530|TAVER=2.49,1,1.037,Z,-8.210,-8.008,,V0353 VUL,AAVSO,STD,105,,,
2458748.68985,13.652,0.107,,R,KNAA,,000-BMS-488,000-BMS-489,X23173ED,|VMAGINS=-7.345|VERR=0.012|CREFMAG=12.951|CREFERR=0.139|KREFMAG=13.057|KREFERR=0.141|VX=0.0000|CX=0.0000|KX=0.0000|TR_VR=-0.2370|TR_VRERR=0.0420|TAVER=2.49,1,1.042,Z,-8.599,-8.527,,V0353 VUL,AAVSO,STD,105,,,
2458750.43444,16.931,0.096,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.198,Z,18.815,19.037,,V353 VUL,VVS,STD,,,,
2458765.47575,17.275,0.251,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.807,Z,19.044,19.280,,V353 VUL,VVS,STD,,,,
2458775.40204,17.115,0.183,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.374,Z,18.820,19.065,,V353 VUL,VVS,STD,,,,
2458777.60299,16.940,0.177,,V,KNAA,,000-BMS-488,000-BMS-489,X23173ED,|VMAGINS=-4.247|VERR=0.120|CREFMAG=13.374|CREFERR=0.010|KREFMAG=13.655|KREFERR=0.023|VX=0.0000|CX=0.0000|KX=0.0000|TV_VR=-0.1620|TV_VRERR=0.0530|TAVER=2.49,1,1.034,Z,-8.195,-7.968,,V0353 VUL,AAVSO,STD,106,,,
2458777.60674,14.158,0.112,,R,KNAA,,000-BMS-488,000-BMS-489,X23173ED,|VMAGINS=-6.824|VERR=0.018|CREFMAG=12.951|CREFERR=0.139|KREFMAG=13.057|KREFERR=0.141|VX=0.0000|CX=0.0000|KX=0.0000|TR_VR=-0.2370|TR_VRERR=0.0420|TAVER=2.49,1,1.039,Z,-8.590,-8.481,,V0353 VUL,AAVSO,STD,106,,,
2458778.39868,17.385,0.469,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.406,Z,19.740,20.032,,V353 VUL,VVS,STD,,,,
2458793.36727,17.115,0.203,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.476,Z,18.873,19.113,,V353 VUL,VVS,STD,,,,
2458794.72699,17.058,0.232,,V,KNAA,,000-BMS-488,000-BMS-489,X23173ED,|VMAGINS=-3.418|VERR=0.195|CREFMAG=13.374|CREFERR=0.010|KREFMAG=13.655|KREFERR=0.023|VX=0.0000|CX=0.0000|KX=0.0000|TV_VR=-0.1620|TV_VRERR=0.0530|TAVER=2.49,1,2.149,Z,-7.463,-7.235,,V0353 VUL,AAVSO,STD,101,,,
2458794.73446,14.408,0.119,,R,KNAA,,000-BMS-488,000-BMS-489,X23173ED,|VMAGINS=-6.421|VERR=0.039|CREFMAG=12.951|CREFERR=0.139|KREFMAG=13.057|KREFERR=0.141|VX=0.0000|CX=0.0000|KX=0.0000|TR_VR=-0.2370|TR_VRERR=0.0420|TAVER=2.49,1,2.317,Z,-8.406,-8.312,,V0353 VUL,AAVSO,STD,101,,,
2458795.36773,<14.79,,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.525,Z,21.236,21.478,,V353 VUL,VVS,STD,,,,
2458795.54387,<17.3,0.3,,V,DKS,,000-BMS-489,000-BMS-490,X23379EXQ,,0,1.288,Z,13.655,14.251,,V0353 VUL,AAVSO,STD,,,,
2458796.36608,17.679,0.387,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.534,Z,18.829,19.078,,V353 VUL,VVS,STD,,,,
2458803.34378,<14.99,,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.507,Z,21.429,22.315,,V353 VUL,VVS,STD,,,,
2458806.36168,17.549,0.736,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.779,Z,19.928,20.175,,V353 VUL,VVS,STD,,,,
2458811.36014,18.260,0.540,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.954,Z,18.959,19.194,,V353 VUL,VVS,STD,,,,
2458821.37001,17.318,0.401,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,2.859,Z,19.159,19.365,,V353 VUL,VVS,STD,,,,
2458822.34786,16.430,0.613,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,2.295,Z,20.584,20.927,,V353 VUL,VVS,STD,,,,
2458823.34764,17.185,0.329,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,2.355,Z,19.051,19.283,,V353 VUL,VVS,STD,,,,
2458824.34679,18.227,0.917,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,2.402,Z,19.078,19.316,,V353 VUL,VVS,STD,,,,
