JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2419566.7,13.3,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419678.6,<12.6,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419691.6,<12.9,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419707.5,<12.9,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419723.5,<12.6,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419736.5,<12.6,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419743.5,12.8,,,Vis.,SFE,,,,,,,,V,,,,SX CYG,,STD,,,,
2419753.5,12.9,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419763.5,12.2,,,Vis.,SFE,,,,,,,,V,,,,SX CYG,,STD,,,,
2419768.5,11.7,,,Vis.,SFE,,,,,,,,V,,,,SX CYG,,STD,,,,
2419777.5,10.2,,,Vis.,SFE,,,,,,,,V,,,,SX CYG,,STD,,,,
2419777.5,10.1,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419782.5,9.0,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419789.5,8.5,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419895.7,10.8,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419900.7,11.0,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419917.6,11.2,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419971.6861,<13.0,,,Vis.,BAN,,,,,,,,V,,,,SX CYG,,STD,,,,
2420013.5826,<13.0,,,Vis.,BAN,,,,,,,,V,,,,SX CYG,,STD,,,,
2420098.5208,<10.4,,,Vis.,O,,,,,,,,V,,,,SX CYG,,STD,,,,
2420161.5,<11.4,,,Vis.,YAS,L,,,,,,,V,,,,SX CYG,,STD,,,,
2420310.6111,9.3,,,Vis.,B,,,,,,,,V,,,,SX CYG,,STD,,,,
2420426.6,<12.9,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2420449.6,<12.9,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2420451.5,<10.4,,,Vis.,O,,,,,,,,V,,,,SX CYG,,STD,,,,
