kepid,koi_period,koi_prad,koi_steff
6368230,26.0841212,1.35,6083.0
8247638,4.79090809,1.36,5527.0
5809890,2.853133997,1.36,5041.0
9006449,21.5262958,1.36,5607.0
11758544,2.7073064,1.36,6045.0
8022489,2.53573284,1.36,5616.0
11337566,7.12815163,1.36,6311.0
6294819,0.675650404,1.36,5966.0
8801316,3.93766786,1.36,6277.0
12024120,3.568099612,1.36,6007.0
10019643,7.81100952,1.36,5395.0
11125613,3.60082855,1.36,4838.0
7211221,5.62154315,1.37,5637.0
4136466,4.48758768,1.37,6060.0
8612275,3.289726319,1.37,5463.0
12401863,2.832647249,1.37,5865.0
9153570,3.81371423,1.37,5547.0
3239945,7.40611676,1.37,4799.0
3745690,1.732346403,1.37,5767.0
5689351,6.1954595,1.37,5001.0
6062088,11.32977062,1.37,5821.0
6425957,2.755637216,1.37,4121.0
9100953,8.70179611,1.37,5295.0
8346392,5.72812616,1.38,3968.0
10730034,2.633852528,1.38,5114.0
11389771,5.41908491,1.38,5814.0
11497958,5.841636615,1.38,3526.0
9471268,4.580346161,1.38,5103.0
7273277,2.714078374,1.38,5815.0
9886361,7.03146295,1.38,6170.0
11283615,1.289590179,1.38,5467.0
9881662,3.254277742,1.38,5945.0
9956082,3.74031708,1.38,6260.0
6359320,8.1280933,1.39,5831.0
8950568,17.9134215,1.39,5435.0
10136549,3.29276797,1.39,5683.0
10978763,6.98800953,1.39,5353.0
8013439,5.62904396,1.39,6197.0
11121752,7.63008196,1.39,6038.0
10793172,12.0999065,1.39,5553.0
3642335,60.8660974,1.39,3808.0
7977197,6.91986988,1.39,5815.0
10271806,3.13295351,1.39,5016.0
10386984,1.287076693,1.39,3736.0
4247991,104.3519624,1.39,5650.0
9886661,5.082748362,1.4,5430.0
10004738,13.93068791,1.4,5497.0
7219825,26.6951944,1.4,6086.0
5513012,0.679336747,1.4,5440.0
7382313,7.42697378,1.4,5573.0
6021275,6.41491277,1.4,5931.0
11125613,5.72716067,1.4,4838.0
8733898,3.036208739,1.4,3464.0
11650401,3.94660745,1.4,5376.0
9823519,1.766789509,1.4,3698.0
6685526,2.237489571,1.41,5265.0
5809890,1.269091415,1.41,5041.0
12506770,2.806243488,1.41,4153.0
10978763,10.55840479,1.41,5353.0
12404954,3.247548814,1.41,5703.0
8753657,2.426304127,1.41,5678.0
3239945,4.393157678,1.41,4799.0
8016691,18.1373788,1.41,4257.0
8644365,19.9158863,1.41,6047.0
6021275,110.2867031,1.41,5931.0
7287995,20.83762895,1.42,4261.0
5617854,3.517494725,1.42,4132.0
6152974,7.51854537,1.42,5064.0
10670119,2.732767897,1.42,3825.0
10024051,0.577369336,1.42,5255.0
9696358,6.98141327,1.42,6054.0
8077137,15.0896415,1.42,6063.0
7603200,13.78109471,1.42,3846.0
5866724,2.154911236,1.42,6181.0
8962094,9.36059705,1.42,5677.0
12068975,15.67750191,1.42,6003.0
11461844,13.6823798,1.43,6102.0
11410904,3.53232429,1.43,5761.0
4915638,8.63050092,1.43,5352.0
5272233,17.3408735,1.43,5885.0
7767162,3.30040818,1.43,6333.0
11499192,4.13592927,1.43,5886.0
11904151,0.837491225,1.43,5676.0
3541946,1.311842968,1.43,5569.0
9002278,267.282521,1.43,4926.0
3660924,4.24153629,1.44,5776.0
8700771,8.0922105,1.44,5774.0
9941066,5.87063416,1.44,4166.0
10857519,2.053341891,1.44,6084.0
6922710,23.1274171,1.44,5865.0
9851662,15.0539886,1.44,5475.0
7673192,11.24284815,1.44,6052.0
8051946,1.4951513,1.44,5635.0
11075737,2.586639524,1.44,5780.0
8193178,4.93883135,1.44,6112.0
10340423,6.73893544,1.44,4126.0
12068975,10.34973276,1.44,6003.0
9415172,1.04562195,1.45,5344.0
1718189,13.0607936,1.45,5830.0
7265298,11.0317836,1.45,5739.0
9753154,3.70429015,1.45,6732.0
11401755,13.84984567,1.45,5919.0
5953297,5.62006198,1.45,4868.0
11714231,5.8660127,1.45,6020.0
5689351,8.34819209,1.45,5001.0
8962094,68.1609897,1.45,5677.0
9272070,8.10503551,1.45,6201.0
6118370,14.0328775,1.45,6063.0
4242692,1.138548215,1.45,6520.0
5252423,4.71510843,1.46,4861.0
6962977,3.71545593,1.46,5296.0
8240797,4.915385452,1.46,5772.0
10583761,2.685054445,1.46,5266.0
9451706,14.4359459,1.46,6075.0
8616637,2.019997006,1.46,5103.0
9886361,13.61165024,1.46,6170.0
9353742,0.938750221,1.46,5497.0
9787239,0.742957911,1.47,3731.0
4466677,3.222975318,1.47,5823.0
8681734,7.68478504,1.47,5344.0
10453588,68.8861017,1.47,5753.0
3234598,31.2012202,1.47,4513.0
9269042,12.00089667,1.47,5195.0
9597345,3.619309734,1.47,5497.0
7040629,11.1317901,1.47,5966.0
8613535,9.47850818,1.47,6249.0
5531576,4.14451656,1.48,4768.0
6272413,4.89721006,1.48,5093.0
8547140,11.41926141,1.48,3823.0
6665512,6.92101452,1.48,4461.0
6774537,2.949029106,1.48,4983.0
8892157,3.73090026,1.48,5709.0
9229657,2.66831274,1.48,5806.0
7090524,6.73968289,1.48,5511.0
9467404,0.929906166,1.48,6039.0
3323887,1.59295975,1.48,5779.0
4917596,3.290114076,1.49,4484.0
10130039,12.75800092,1.49,5782.0
9704384,5.50860699,1.49,5448.0
3234598,12.90467523,1.49,4513.0
11752632,0.984941669,1.49,5825.0
8025596,4.69505576,1.49,5999.0
6690836,0.568874717,1.49,5223.0
11129738,2.613020421,1.5,3883.0
6026438,24.2101973,1.5,4650.0
7918992,1.434745129,1.5,5806.0
5374403,40.8366307,1.5,5529.0
8559152,12.4128518,1.5,5945.0
12156347,5.77957133,1.5,4102.0
8022489,11.1726723,1.5,5616.0
7419318,8.43639829,1.5,5188.0
10552611,7.0106324,1.5,4908.0
12785320,19.96367208,1.5,5250.0
8355239,10.39986173,1.5,4963.0
11823054,3.137845914,1.5,5041.0
6462863,3.743166733,1.5,6181.0
3632089,31.7787564,1.5,5638.0
11709124,3.93276627,1.5,5688.0
11611600,1.219568047,1.51,4838.0
8685497,4.4096675,1.51,5836.0
10212441,15.0447098,1.51,5798.0
12256520,33.2407985,1.51,5382.0
11288051,30.9505927,1.51,4983.0
2990873,16.22378479,1.51,5547.0
11236244,11.32269749,1.51,4563.0
8292840,21.86965714,1.51,6214.0
7673192,6.12479773,1.51,6052.0
6063220,4.603575293,1.51,4783.0
7596240,13.3997555,1.51,6401.0
11080405,12.3101351,1.51,5009.0
9828127,18.0541469,1.51,5505.0
11853878,5.70940795,1.51,4402.0
12784167,1.847892736,1.51,5763.0
8037145,51.1658019,1.51,4963.0
10157458,7.33685101,1.52,5795.0
10426656,2.97136658,1.52,5334.0
11497958,19.85029495,1.52,3526.0
12120307,8.00504749,1.52,6398.0
5175986,0.868386354,1.52,4792.0
9092504,0.962864171,1.52,5704.0
9701962,27.4784659,1.52,5432.0
10875245,3.180027898,1.53,5847.0
8282651,2.361724472,1.53,4478.0
10863608,8.07127043,1.53,5766.0
5364071,18.59611518,1.53,3834.0
6528464,12.58229808,1.53,5587.0
8361905,15.87360981,1.53,5656.0
6020753,4.069425638,1.53,4671.0
11241912,14.42735088,1.53,5929.0
11442793,8.71980135,1.53,5970.0
5956656,1.224866441,1.54,5553.0
7220429,8.03753796,1.54,5044.0
3661886,12.50945798,1.54,5949.0
