source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,radius_val,lum_val
65670604009946496,58.12118220172857,0.05440459939266337,23.37947472945794,0.02337060973908305,3.753938317163549,0.05878091268470139,6.195742213795674,-18.971910237365357,12.978666,13.473648,12.341397,1.1322508,22.616773992670012,1.0909065397684734,NOT_AVAILABLE,4972.25,0.124,0.828145,0.37767595
65616968458366848,58.344054729241904,0.04897355679616872,23.190768689606372,0.023429503013816994,0.9415181394120617,0.05180708733421288,-0.39730187149062723,-5.534623841604208,15.7077055,16.280571,14.978779,1.3017921,,,NOT_AVAILABLE,4862.465,1.0185,0.99562573,0.49924397
65674383581036928,57.96137553997525,0.05750428461102136,23.29417191165671,0.027051376308529867,0.8355630962665962,0.06163470762406898,-3.276020206354289,-6.72232695411742,15.888342,16.345766,15.266393,1.0793734,,,NOT_AVAILABLE,5049.49,0.303,0.9369631,0.51419735
65674658458943616,57.9479606233225,0.031569598345516044,23.303961208392483,0.014015652911467964,0.7322489901127933,0.03286171584005266,16.02573708525128,-10.68434979721237,14.479491,14.959986,13.843991,1.1159945,,,NOT_AVAILABLE,4960.9023,,2.1394916,2.497805
65616762299936896,58.35490750311344,0.10943429666710672,23.183053956423574,0.054530922299930513,1.2890807802546174,0.11656463037304994,2.7611355020816433,-3.06209918361477,17.307085,18.177849,16.361969,1.8158798,,,NOT_AVAILABLE,,,,
65672665594126336,57.87482238094174,0.08576636552522961,23.257836238165464,0.041540621149806646,3.434684461685827,0.08715584801258378,23.38081495942456,-18.23010469718306,16.757898,18.010157,15.633761,2.3763952,,,NOT_AVAILABLE,4035.3167,0.188,,
65624458881477120,58.57023559177941,0.0591610964147507,23.14531224946465,0.024114137762733592,0.7726433640858508,0.060287814518633506,3.188264769694287,-7.081362837716703,15.839403,16.335293,15.171718,1.1635752,,,NOT_AVAILABLE,4908.355,0.6613,1.1141522,0.6491239
65672425075958528,57.89939076474345,0.03332023900155517,23.238853428472275,0.01612681143262232,2.657965485137443,0.035399537757405036,8.640400854124803,7.098390569014521,14.084587,14.576283,13.436264,1.1400194,,,NOT_AVAILABLE,4896.75,0.008,0.7311602,0.2769182
65604598952610304,58.23517537179044,0.08930216225503392,22.966357443943572,0.0462113847249163,1.5402379271841693,0.09548080326084138,7.944788484596616,-10.764138338261509,16.805225,17.639097,15.884086,1.7550116,,,NOT_AVAILABLE,4016.75,0.1837,0.64779276,0.09841608
65673765105752064,57.81815710882401,0.04127300828264099,23.303283626839054,0.019568954633629496,1.3506102338736663,0.04370592788758632,5.967852056913014,-0.7010596300950256,15.360691,15.928867,14.655016,1.2738514,,,NOT_AVAILABLE,5021.5,0.658,0.74951375,0.3218013
65673455868106880,57.867902053162176,0.08293442064481363,23.275063666978784,0.038334794064082224,0.9483699033657039,0.08648285316304226,1.508095664235536,-9.26848812742151,16.870373,17.451744,16.14768,1.3040638,,,NOT_AVAILABLE,4898.705,,0.5675122,0.16709763
65613463765056896,58.40229584257474,0.0653752681488843,23.139394592587625,0.03237194356363475,3.2659427874081794,0.06959823968548806,5.599362956610314,-10.892226465595275,15.55866,16.75662,14.44439,2.31223,,,NOT_AVAILABLE,3678.1401,,0.7246815,0.086596854
65670672729417984,58.1526988468217,0.03496533941943805,23.387732715528145,0.014571924853081394,2.2707551653795734,0.037522799435816004,20.890581518619314,-24.3201328792665,14.537094,15.099343,13.834979,1.2643642,,,NOT_AVAILABLE,4862.4375,0.2485,0.7077554,0.25227675
65669916815174400,58.16406199458136,0.04157256544935958,23.378002562361427,0.017543607885975813,5.59842845530715,0.04469129263198012,61.35275762639624,-120.83891741133328,15.016787,16.017813,14.0287485,1.9890642,,,NOT_AVAILABLE,3860.3477,0.1455,,
65613635563749120,58.380333077062794,0.05087984438911622,23.14934736334132,0.024332418899253076,1.0888869572667241,0.05342662977671609,12.63690033214384,-13.005593923321364,15.743974,16.316555,15.019589,1.2969656,,,NOT_AVAILABLE,4838.703,0.7007,0.857627,0.36325157
65677098000371712,57.77967490256374,0.1015880141523022,23.349188977175515,0.046821152695537584,6.6290572812464506,0.1088866228819444,17.205807687352582,-41.8788174397334,16.810886,18.50375,15.545235,2.9585152,,,NOT_AVAILABLE,4011.2275,0.656,,
