Frequency (GHz)      Flux (Jy)
     42.4573852      0.0196921
     42.4576352     -0.0113921
     42.4578852      0.0003731
     42.4581352      0.0090097
     42.4583852      0.0056500
     42.4586352      0.0130514
     42.4588852      0.0098111
     42.4591352     -0.0039284
     42.4593852      0.0026934
     42.4596352     -0.0223273
     42.4598852      0.0070150
     42.4601352      0.0092632
     42.4603852      0.0197935
     42.4606352      0.0131990
     42.4608852     -0.0156050
     42.4611352      0.0286493
     42.4613852      0.0205146
     42.4616352     -0.0170974
     42.4618852      0.0327933
     42.4621352     -0.0154168
     42.4623852      0.0278785
     42.4626352     -0.0075132
     42.4628852      0.0243627
     42.4631352     -0.0144505
     42.4633852     -0.0037398
     42.4636352     -0.0157687
     42.4638852      0.0227342
     42.4641352     -0.0004270
     42.4643852     -0.0043052
     42.4646352      0.0233141
     42.4648852     -0.0046432
     42.4651352      0.0095154
     42.4653852     -0.0035282
     42.4656352      0.0375641
     42.4658852     -0.0214004
     42.4661352     -0.0000493
     42.4663852      0.0048491
     42.4666352      0.0163590
     42.4668852     -0.0035750
     42.4671352     -0.0027032
     42.4673852      0.0175187
     42.4676352     -0.0037159
     42.4678852     -0.0131452
     42.4681352     -0.0240169
     42.4683852     -0.0071734
     42.4686352     -0.0251220
     42.4688852      0.0054544
     42.4691352     -0.0074625
     42.4693852      0.0121704
     42.4696352     -0.0184834
     42.4698852      0.0293131
     42.4701352     -0.0360521
     42.4703852     -0.0179565
     42.4706352      0.0044002
     42.4708852     -0.0079491
     42.4711352      0.0073519
     42.4713852      0.0214063
     42.4716352      0.0351555
     42.4718852     -0.0128719
     42.4721352     -0.0136639
     42.4723852      0.0114949
     42.4726352     -0.0072461
     42.4728852      0.0213632
     42.4731352     -0.0071461
     42.4733852     -0.0019599
     42.4736352     -0.0082051
     42.4738852     -0.0162826
     42.4741352      0.0149907
     42.4743852      0.0118794
     42.4746352     -0.0350679
     42.4748852     -0.0152378
     42.4751352     -0.0105987
     42.4753852     -0.0065839
     42.4756352      0.0057026
     42.4758852      0.0210178
     42.4761352      0.0157983
     42.4763852     -0.0103387
     42.4766352      0.0127049
     42.4768852     -0.0108923
     42.4771352     -0.0184387
     42.4773852      0.0060396
     42.4776352      0.0026429
     42.4778852      0.0163069
     42.4781352     -0.0100049
     42.4783852     -0.0145193
     42.4786352     -0.0122231
     42.4788852      0.0191765
     42.4791352      0.0256277
     42.4793852      0.0253659
     42.4796352      0.0004582
     42.4798852     -0.0206193
     42.4801352     -0.0085357
     42.4803852     -0.0126910
     42.4806352     -0.0026195
     42.4808852     -0.0248278
     42.4811352      0.0135931
     42.4813852      0.0134241
     42.4816352      0.0068395
     42.4818852      0.0030159
     42.4821352     -0.0209065
     42.4823852      0.0022696
     42.4826352     -0.0037026
     42.4828852     -0.0023421
     42.4831352      0.0253700
     42.4833852     -0.0179302
     42.4836352     -0.0111475
     42.4838852     -0.0286950
     42.4841352     -0.0012570
     42.4843852     -0.0166731
     42.4846352     -0.0308148
     42.4848852      0.0190905
     42.4851352     -0.0016693
     42.4853852      0.0090119
     42.4856352      0.0128677
     42.4858852      0.0131733
     42.4861352      0.0063739
     42.4863852      0.0113556
     42.4866352     -0.0232626
     42.4868852      0.0055666
     42.4871352     -0.0221681
     42.4873852     -0.0075336
     42.4876352      0.0125691
     42.4878852     -0.0294556
     42.4881352      0.0108194
