tphys,kstar_1,mass_1,lum_1,deltam_1,RRLO_1,kstar_2,mass_2,lum_2,deltam_2,RRLO_2,porb,sep,bin_state,merger_type,bin_num
8.438336468614596,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777379561328651,6894.738381508537,-1.3394852486740141e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.448336468614595,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777379427294385,6896.90212125781,-1.3403426563348247e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.458336468614595,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777379293174285,6899.067600246162,-1.3412010035697394e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.468336468614595,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777379158968255,6901.234819685026,-1.3420602911947042e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.478336468614595,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777379024676204,6903.403780787041,-1.3429205200263886e-11,9.999999999999999e-05,-1.0,-1.0,2,-001,1002330
8.488336468614595,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777378890298035,6905.5744847660135,-1.3437816908820919e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.498336468614594,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777378755833654,6907.746932836935,-1.3446438045798207e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.508336468614594,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777378621282967,6909.921126215991,-1.3455068619382602e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.518336468614594,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.77737848664588,6912.097066120544,-1.3463708637767588e-11,9.999999999999999e-05,-1.0,-1.0,2,-001,1002330
8.528336468614594,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777378351922298,6914.274753769163,-1.3472358109153657e-11,9.999999999999999e-05,-1.0,-1.0,2,-001,1002330
8.538336468614593,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777378217112128,6916.454190381587,-1.348101704174776e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.548336468614593,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777378082215273,6918.635377178751,-1.3489685443763962e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.558336468614593,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.77737794723164,6920.818315382784,-1.3498363323422736e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.568336468614593,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777377812161133,6923.003006217004,-1.3507050688951553e-11,0.0001,-1.0,-1.0,2,-001,1002330
