,Designation,Abs Mag,Slope Param,Epoch,Mean anom (deg),Argument of Perihelion (deg),Longitude of Ascending Node (deg),Inclination to Ecliptic (deg),Eccentricity,Mean daily motion (deg/day),Semimajor Axis (AU),Reference,N observation,N oppositions,Readable Designation,Date of last observation
1734,K22Q60U,18.69,0.15,K232P,29.33062,72.7915,33.43754,27.89812,0.8119829,0.25938291,2.4350533,MPO725101,33,1,2022 QU60,2022-09-23
1735,K22R00B,21.55,0.15,K232P,62.84541,22.11101,248.53551,4.62642,0.6435302,0.28225625,2.3016556,MPO725103,106,1,2022 RB,2022-10-17
1736,K22R03X,17.64,0.15,K232P,35.88725,13.13037,18.48087,70.61072,0.6402353,0.23122133,2.6289609,MPO725104,79,1,2022 RX3,2022-10-18
1737,K22R04E,20.52,0.15,K232P,18.60695,325.76289,97.82566,10.33021,0.5635289,0.29046337,2.2580929,MPO733881,33,1,2022 RE4,2023-01-20
1738,K22R04M,19.59,0.15,K232P,29.21352,181.69462,218.14411,38.30445,0.5970667,0.25650284,2.453247,MPO733881,381,1,2022 RM4,2023-01-23
1739,K22S08N,19.61,0.15,K232P,5.53899,168.05187,303.79694,14.17918,0.5828955,0.2904565,2.2581285,E2023-C29,57,1,2022 SN8,2023-02-03
1740,K22S11F,21.53,0.15,K232P,358.58027,334.28169,158.86828,7.52611,0.3113618,0.5918517,1.4049497,MPO733889,37,1,2022 SF11,2022-11-15
1741,K22S12D,21.25,0.15,K232P,28.05027,141.53857,233.81529,15.60227,0.6415542,0.22567807,2.6718361,MPO733889,100,1,2022 SD12,2022-12-25
1742,K22S12W,21.1,0.15,K232P,63.76039,140.6076,182.90711,26.44717,0.5427895,0.32517105,2.0944089,MPO718092,41,1,2022 SW12,2022-11-04
1743,K22S95F,20.51,0.15,K232P,9.19721,317.54849,164.49267,9.33354,0.5853267,0.31767088,2.1272463,MPO733901,53,1,2022 SF95,2023-01-20
1744,K22T01N,20.43,0.15,K232P,142.40326,220.84239,38.12043,29.7928,0.4037987,0.46782127,1.6434232,MPO733922,27,1,2022 TN1,2022-11-26
1745,K22U00N,21.59,0.15,K232P,52.97015,274.52708,27.1072,9.87016,0.7066651,0.29255181,2.2473335,MPO733927,215,1,2022 UN,2022-11-23
