Frequency (GHz)      Flux (Jy)
     42.4796352     -0.0053925
     42.4798852      0.0171241
     42.4801352     -0.0119937
     42.4803852      0.0226603
     42.4806352      0.0274593
     42.4808852     -0.0271448
     42.4811352      0.0377497
     42.4813852     -0.0296355
     42.4816352     -0.0004274
     42.4818852      0.0262471
     42.4821352      0.0300454
     42.4823852      0.0520713
     42.4826352      0.0051498
     42.4828852      0.0177154
     42.4831352      0.0494679
     42.4833852     -0.0069000
     42.4836352      0.0179107
     42.4838852     -0.0076489
     42.4841352     -0.0232141
     42.4843852      0.0486411
     42.4846352      0.0005380
     42.4848852      0.0181059
     42.4851352     -0.0065662
     42.4853852      0.0299951
     42.4856352     -0.0095910
     42.4858852     -0.0668506
     42.4861352     -0.0306222
     42.4863852      0.0323229
     42.4866352     -0.0273242
     42.4868852     -0.0219795
     42.4871352      0.0275666
     42.4873852      0.0302824
     42.4876352      0.0195691
     42.4878852      0.0631846
     42.4881352      0.0720753
     42.4883852     -0.0451911
     42.4886352      0.0229654
     42.4888852      0.0785668
     42.4891352      0.0041882
     42.4893852     -0.0186284
     42.4896352      0.0436869
     42.4898852     -0.0279560
     42.4901352     -0.0383869
     42.4903852     -0.0208185
     42.4906352     -0.0174679
     42.4908852      0.0085315
     42.4911352      0.0034730
     42.4913852      0.0372179
     42.4916352      0.0318147
     42.4918852      0.0222315
     42.4921352     -0.0182927
     42.4923852      0.0008697
     42.4926352     -0.0284624
     42.4928852     -0.0123218
     42.4931352     -0.0182412
     42.4933852      0.0110943
     42.4936352     -0.0176598
     42.4938852      0.0173730
     42.4941352     -0.0042377
     42.4943852      0.0299144
     42.4946352      0.0190471
     42.4948852     -0.0281321
     42.4951352     -0.0293576
     42.4953852      0.0359700
     42.4956352     -0.0408381
     42.4958852     -0.0149069
     42.4961352     -0.0170040
     42.4963852      0.0196484
     42.4966352     -0.0484627
     42.4968852      0.0535224
     42.4971352     -0.0075030
     42.4973852     -0.0201563
     42.4976352     -0.0099092
     42.4978852     -0.0100189
     42.4981352     -0.0624813
     42.4983852     -0.0349271
     42.4986352      0.0220534
     42.4988852      0.0209795
     42.4991352      0.0319687
     42.4993852     -0.0307957
     42.4996352     -0.0043159
     42.4998852     -0.0434954
     42.5001352     -0.0114541
     42.5003852     -0.0310271
     42.5006352      0.0254795
     42.5008852      0.0457519
     42.5011352     -0.0112552
     42.5013852      0.0262061
     42.5016352      0.0116070
     42.5018852      0.0646892
     42.5021352     -0.0379126
     42.5023852     -0.0366694
     42.5026352     -0.0004760
     42.5028852     -0.0175976
     42.5031352      0.0163633
     42.5033852      0.0391060
     42.5036352     -0.0381691
     42.5038852      0.0029314
     42.5041352     -0.0287973
     42.5043852      0.0227720
     42.5046352     -0.0214650
     42.5048852      0.0238379
     42.5051352      0.0134083
     42.5053852      0.0115419
     42.5056352      0.0034910
     42.5058852      0.0028147
     42.5061352      0.0108170
     42.5063852      0.0113118
     42.5066352      0.0509845
     42.5068852     -0.0147223
     42.5071352      0.0299006
     42.5073852     -0.0021596
     42.5076352      0.0224696
     42.5078852      0.0035291
     42.5081352      0.0081568
     42.5083852     -0.0201356
     42.5086352     -0.0024249
     42.5088852      0.0181657
     42.5091352     -0.0105234
     42.5093852      0.0043005
     42.5096352     -0.0284244
     42.5098852     -0.0740317
     42.5101352     -0.0137681
     42.5103852     -0.0295215
     42.5106352      0.0082930
     42.5108852      0.0029645
     42.5111352     -0.0222388
     42.5113852      0.0196922
     42.5116352     -0.0462709
     42.5118852      0.0288430
     42.5121352      0.0402201
     42.5123852     -0.0155397
     42.5126352      0.0078686
     42.5128852     -0.0221065
     42.5131352     -0.0398533
     42.5133852     -0.0505316
     42.5136352      0.0362107
     42.5138852      0.0075690
     42.5141352     -0.0053094
     42.5143852     -0.0191992
     42.5146352      0.0343284
     42.5148852     -0.0144712
     42.5151352     -0.0429659
     42.5153852     -0.0126862
     42.5156352     -0.0208167
     42.5158852      0.0069127
     42.5161352     -0.0461358
     42.5163852     -0.0248889
     42.5166352      0.0026501
     42.5168852     -0.0167660
     42.5171352      0.0213116
     42.5173852     -0.0001569
     42.5176352     -0.0395409
     42.5178852     -0.0062904
     42.5181352     -0.0099224
     42.5183852      0.0144526
     42.5186352     -0.0289109
     42.5188852      0.0376170
     42.5191352      0.0031705
     42.5193852     -0.0493752
     42.5196352     -0.0176273
     42.5198852     -0.0136168
     42.5201352     -0.0035918
     42.5203852     -0.0102242
     42.5206352     -0.0054803
     42.5208852      0.0216291
