GRBname T90
GRB130408A 4.24
GRB130327A 6.372
GRB130315A 230.508
GRB130313A 0.1719999
GRB130306A 272.38
GRB130305A 52.8
GRB130216B 17.6
GRB130216A 6.52
GRB130215A 66.224
GRB130211A 30.752
GRB130206A 121.0
GRB130131B 4.3
GRB130131A 51.524
GRB130122A 76.544
GRB130102A 132.78
GRB121229A 111.46
GRB121226A 1.012
GRB121217A 778.092
GRB121212A 6.056
GRB121211A 182.696
GRB121209A 42.92
GRB121202A 19.536
GRB121201A 38.0
GRB121128A 23.428
GRB121125A 52.252
GRB121123A 326.092
GRB121117A 23.3
GRB121108A 89.548
GRB121102A 54.68
GRB121031A 226.2
GRB121028A 2.876
GRB121027A 80.088
GRB121024A 67.968
GRB121017A 4.608
GRB121014A 80.0
GRB121011A 97.236
GRB121001A 147.824
GRB120927A 35.056
GRB120923A 26.076
GRB120922A 168.224
GRB120918A 25.096
GRB120913B 122.588
GRB120913A 36.044
GRB120911A 21.468
GRB120909A 220.596
GRB120907A 6.08
GRB120819A 71.02
GRB120817B 0.072
GRB120817A 28.208
GRB120816A 4.432
GRB120815A 7.232
GRB120811C 24.344
GRB120811A 29.008
GRB120807A 19.884
GRB120805A 48.0
GRB120804A 0.808
GRB120803B 39.012
GRB120803A 8.888
GRB120802A 50.288
GRB120729A 93.928
GRB120728A 20.976
GRB120724A 77.924
GRB120722A 36.32
GRB120714B 157.312
GRB120714A 20.0
GRB120712A 14.808
GRB120711B 60.096
GRB120703A 51.704
GRB120701A 14.16
GRB120630A 0.5959999
GRB120624B 179.664
GRB120612A 90.284
GRB120521C 27.068
GRB120521B 146.832
GRB120521A 0.512
GRB120514A 164.344
GRB120422A 60.352
GRB120404A 38.724
GRB120403B 7.284
GRB120403A 1.396
GRB120401A 130.272
GRB120328A 29.928
GRB120327A 63.532
GRB120326A 69.48
GRB120324A 118.424
GRB120320A 24.976
GRB120312A 14.156
GRB120311B 29.688
GRB120311A 3.48
GRB120308A 61.256
GRB120305A 0.0999999
GRB120302A 49.6
GRB120229A 0.2359999
GRB120224A 7.0
GRB120219A 92.528
GRB120218A 31.376
GRB120215A 7.924
GRB120213A 41.028
GRB120212A 5.0
GRB120211A 64.32
GRB120121A 26.8
GRB120119A 68.0
GRB120118B 20.304
GRB120116A 38.044
GRB120114A 48.0
GRB120106A 63.5
GRB120102A 38.708
GRB111229A 25.372
GRB111228A 101.244
GRB111225A 105.728
GRB111215A 373.82
GRB111212A 56.304
GRB111210A 2.516
GRB111209A 810.968
GRB111208A 168.0
GRB111207A 16.0
GRB111204A 48.0
GRB111201A 20.8
GRB111129A 8.476
GRB111126A 0.6719999
GRB111123A 290.0
GRB111121A 113.332
GRB111117A 0.4639999
GRB111109A 13.0
GRB111107A 31.072
